"","x"
"1","LILLOCC"
"2","ELEOPAL"
"3","MENTARV"
"4","JUNCART"
"5","PHALARU"
"6","CARELYN"
"7","JUNCBAL"
"8","MYOSSCO"
"9","SALISP"
"10","MOSS"
"11","SYMPSUB"
"12","LYTHSAL"
"13","MENTSPI"
"14","TARAOFF"
"15","LYCOEUR"
"16","PERSSP"
"17","SCHEARU"
"18","MENTAQU"
"19","POAANN"
"20","CARDSP"
"21","POLYAVI"
"22","JUNCEFF"
"23","RANUREP"
"24","IMPAPAR"
"25","CIRSARV"
"26","PLANMAJ"
"27","SAGIPRO"
"28","AGROSTO"
"29","RUMECON"
"30","CREPCAP"
"31","PLANLAN"
"32","TRIFREP"
"33","POAPRA"
"34","RUMECLO"
"35","BIDECER"
"36","CAREOBN"
"37","SIUMSUA"
"38","GALITRI"
"39","LIMOAQU"
"40","CALLSTA"
"41","LYSIVUL"
"42","GRATEBR"
"43","LOTUCOR"
"44","JUNCTEN"
