,Scientific,Common,Origin
1,Lillaeopsis occidentalis,western grasswort,Native
2,Eleocharis palustris,creeping spike-rush,Native
3,Mentha arvensis,field mint,Exotic
4,Juncus articulatus,jointed rush,Native
5,Phalarus arundinacea,reed canary grass,Invasive
6,Carex lyngbyei,Lyngby's sedge,Native
7,Juncus balticus,baltic rush,Native
8,Myosotis scorpioides,European forget-me-not,Exotic
9,Salix sp.,willow,Unknown
10,Moss sp,moss,Unknown
11,Symphiotrichum subspicatum,Douglas' aster,Native
12,Lythrum salicaria,purple loosestrife,Invasive
13,Mentha spicata,spearmint,Exotic
14,Taraxacum officinale,common dandelion,Exotic
15,Lycopus europaeus,European horehound,Exotic
16,Persicaria sp.,smartweeds,Unknown
17,Schedonorus arundinacea,tall fescue,Exotic
18,Mentha aquatica,water mint,Exotic
19,Poa annua,annual bluegrass,Exotic
20,Cardamine sp.,bitter-cress,Unknown
21,Polygonum aviculare,common knotgrass,Exotic
22,Juncus effusus,soft rush,Native
23,Ranunculus repens,creeping buttercup,Exotic
24,Impatiens parviflora,small touch-me-not,Exotic
25,Cirsium arvense,Canada thistle,Exotic
26,Plantago major,common plantain,Exotic
27,Sagina procumbens,bird-eye pearlwort,Exotic
28,Agrostis stolonifera,bent grass,Exotic
29,Rumex conglomeratus,clustered dock,Exotic
30,Plantago lanceolata,Ribwort plantain,Exotic
31,Trifolium repens,white clover,Exotic
32,Poa pratensis,Kentucky bluegrass,Unknown
33,Rumex conglomeratus,clustered dock,Exotic
34,Bidens cernua,nodding beggartick,Native
35,Carex obnupta,slough sedge,Native
36,Sium suave,water parsnip,Native
37,Galium trifidum,small bedstraw,Native
38,Limosella aquatica,water mudwort,Native
39,Callitriche stagnalis,water starwort,Exotic
40,Lysimachia vulgaris,yellow loosestrife,Exotic
41,Gratiola ebracteata,bractless hedge-hyssop,Native
42,Lotus corniculatus,common bird's-foot trefoil,Exotic
43,Juncus tenuis,slender rush,Native
