"","x"
"1","TYPHLAT"
"2","CARELYN"
"3","EQUIFLU"
"4","LYTHSAL"
"5","SALIX SP"
"6","ELEOPAL"
"7","BIDECER"
"8","SCHOTAB"
"9","ALISTRI"
"10","SPARAME"
"11","EQUIARV"
"12","CALLSTA"
"13","LYCOEUR"
"14","AGROCAP"
"15","SAGILAT"
"16","IMPACAP"
"17","GLYCSP"
"18","LILLAOCC"
"19","SCIRMIC"
"20","PHALARU"
"21","MYOSSCO"
"22","LYSIAME"
"23","ATHYFIL"
"24","POTEANS"
"25","JUNCOXY"
"26","MIMUGUT"
"27","GALITRI"
"28","JUNCART"
"29","OENASAR"
"30","SIUMSUA"
"31","RUMESAL"
"32","CALTPAL"
"33","IRISPSE"
"34","MENYTRI"
