,PLOT_CODE,MAX_LH_CM
1,01-001-1-1,NA
2,01-001-1-2,NA
3,01-001-1-3,NA
18,02-011-1-1,167
14,02-011-1-10,165
9,02-011-1-11,186
20,02-011-1-12,169
21,02-011-1-13,191
6,02-011-1-14,181
10,02-011-1-15,174
15,02-011-1-16,158
5,02-011-1-17,198
8,02-011-1-18,165
16,02-011-1-19,189
31,02-011-1-2,186
110,02-011-1-20,135
4,02-011-1-3,200
7,02-011-1-4,196
11,02-011-1-5,144
12,02-011-1-6,158
17,02-011-1-7,144
19,02-011-1-8,160
13,02-011-1-9,153
111,02-012-2-2,NA
22,02-012-2-3,NA
32,02-012-2-4,NA
41,02-012-2-6,NA
51,02-012-2-8,NA
61,02-012-2-9,NA
81,02-013-1-10,133
91,02-013-1-11,164
101,02-013-1-19,154
112,02-013-1-2,165
113,02-013-1-20,172
23,02-013-1-3,178
33,02-013-1-5,162
42,02-013-1-6,185
52,02-013-1-7,162
62,02-013-1-8,123
71,02-013-1-9,160
131,02-013-2-1,NA
141,02-013-2-21,NA
121,02-013-2-22,133
151,02-013-2-4,NA
24,02-015-1-1,NA
34,02-015-1-2,NA
43,02-015-1-3,NA
53,02-015-1-4,NA
114,02-015-1-5,NA
25,03-001A-1-10,34
122,03-001A-1-12,NA
35,03-001A-1-14,126
44,03-001A-1-17,154
54,03-001A-1-19,124
82,03-001A-1-2,NA
132,03-001A-1-21,NA
115,03-001A-1-5,103
116,03-001A-1-6,NA
92,03-001A-1-7,NA
102,03-001A-1-A,NA
63,03-001A-1-B,64
72,03-001A-1-C,102
36,03-001B-1-21,NA
55,03-001B-1-22,NA
64,03-001B-1-23,NA
45,03-001B-1-24,NA
73,03-001B-1-25,NA
83,03-001B-1-26,NA
93,03-001B-1-27,NA
117,03-001B-1-28,83
26,03-001B-1-29,105
103,03-001B-1-30,NA
118,04-003-1-1,NA
74,04-003-1-10,143
46,04-003-1-11,102
56,04-003-1-12,132
94,04-003-1-3,NA
104,04-003-1-4,NA
37,04-003-1-5,171
27,04-003-1-6,147
119,04-003-1-7,148
65,04-003-1-8,145
84,04-003-1-9,108
47,05-002-1-1,NA
142,05-002-1-10,NA
120,05-002-1-11,141
1110,05-002-1-12,NA
95,05-002-1-13,NA
105,05-002-1-14,NA
181,05-002-1-15,NA
75,05-002-1-16,NA
38,05-002-1-17,150
161,05-002-1-18,NA
152,05-002-1-2,NA
85,05-002-1-20,NA
133,05-002-1-3,NA
123,05-002-1-4,NA
57,05-002-1-5,NA
191,05-002-1-6,NA
28,05-002-1-7,133
66,05-002-1-8,NA
171,05-002-1-9,NA
58,08-004A-1-1,74
1111,08-004A-1-10,NA
76,08-004A-1-11,NA
96,08-004A-1-2,NA
86,08-004A-1-3,NA
48,08-004A-1-4,61
106,08-004A-1-5,NA
29,08-004A-1-6,146
39,08-004A-1-7,165
124,08-004A-1-8,49
67,08-004A-1-9,104
210,08-004B-1-13,NA
97,08-004B-1-14,NA
143,08-004B-1-15,NA
125,08-004B-1-16,60
310,08-004B-1-17,NA
153,08-004B-1-18,NA
49,08-004B-1-19,NA
107,08-004B-1-20,NA
59,08-004B-1-21,NA
1112,08-004B-1-22,NA
77,08-004B-1-23,NA
162,08-004B-1-24,NA
126,08-004B-1-25,NA
87,08-004B-1-26,NA
134,08-004B-1-27,NA
68,08-004B-1-28,NA
211,08-005A-1-1,NA
1113,08-005A-1-10,NA
69,08-005A-1-2,NA
78,08-005A-1-2B,NA
311,08-005A-1-3,NA
98,08-005A-1-4,NA
410,08-005A-1-5,NA
510,08-005A-1-6,NA
88,08-005A-1-7,NA
108,08-005A-1-8,NA
127,08-005A-1-9,NA
610,08-005B-1-11,NA
511,08-005B-1-12,NA
128,08-005B-1-13,NA
212,08-005B-1-14,NA
312,08-005B-1-15,NA
411,08-005B-1-16,NA
109,08-005B-1-17,NA
79,08-005B-1-18,NA
89,08-005B-1-19,NA
99,08-005B-1-20,NA
412,08-008A-1-1A,NA
213,08-008A-1-2A,NA
313,08-008A-1-3A,NA
129,08-008A-1-4A,NA
512,08-008A-1-5A,NA
314,08-008B-1-1B,NA
513,08-008B-1-2B,NA
710,08-008B-1-3B,NA
130,08-008B-1-4B,NA
413,08-008B-1-5B,NA
611,08-008B-1-6B,NA
214,08-008B-1-7B,NA
135,08-008C-1-1C,NA
215,08-008C-1-2C,NA
315,08-008C-1-3C,NA
414,08-008C-1-4C,NA
514,08-008C-1-5C,NA
136,08-008D-1-1D,NA
216,08-008D-1-2D,NA
316,08-008D-1-3D,NA
217,08-009A-1-10,170
317,08-009A-1-5,93
415,08-009A-1-6,NA
137,08-009A-1-7,98
810,08-009A-2-1,NA
612,08-009A-2-2,NA
515,08-009A-2-3,NA
910,08-009A-2-4,NA
1010,08-009A-2-8,NA
711,08-009A-2-9,NA
613,08-009B-1-11,NA
712,08-009B-1-12,NA
138,08-009B-1-14,137
911,08-009B-1-15,NA
1011,08-009B-1-16,NA
318,08-009B-1-18,NA
218,08-009B-1-20,137
811,08-009B-2-17,NA
516,08-009B-2-19,NA
416,08-009B-2-21,NA
163,09-003-1-1,NA
281,09-003-1-10,NA
291,09-003-1-11,NA
201,09-003-1-14,NA
517,09-003-1-15,NA
154,09-003-1-16,NA
30,09-003-1-17,NA
241,09-003-1-19,NA
219,09-003-1-2,NA
319,09-003-1-20,NA
321,09-003-1-21,NA
172,09-003-1-22,NA
221,09-003-1-23,NA
331,09-003-1-24,NA
192,09-003-1-3,NA
231,09-003-1-5,NA
912,09-003-1-6,NA
251,09-003-1-7,NA
261,09-003-1-8,NA
271,09-003-1-9,NA
320,09-003-2-1,NA
182,09-003-2-10,NA
1210,09-003-2-11,NA
144,09-003-2-12,NA
351,09-003-2-13,NA
139,09-003-2-14,NA
417,09-003-2-15,NA
614,09-003-2-2,NA
1012,09-003-2-3,NA
341,09-003-2-4,NA
1114,09-003-2-5,NA
140,09-003-2-6,130
220,09-003-2-7,92
713,09-003-2-8,NA
812,09-003-2-9,NA
145,09-006-1-1,NA
615,09-006-1-10,NA
1115,09-006-1-11,NA
146,09-006-1-12,NA
714,09-006-1-13,NA
813,09-006-1-14,NA
222,09-006-1-2,NA
322,09-006-1-3,NA
913,09-006-1-4,NA
418,09-006-1-5,NA
1310,09-006-1-6,NA
1013,09-006-1-7,NA
1211,09-006-1-8,NA
518,09-006-1-9,NA
715,09-016-1-1,NA
173,09-016-1-10,NA
1116,09-016-1-11,NA
155,09-016-1-12,NA
147,09-016-1-13,108
814,09-016-1-14,NA
323,09-016-1-16,NA
419,09-016-1-17,NA
193,09-016-1-18,NA
223,09-016-1-19,54
519,09-016-1-2,NA
148,09-016-1-20,NA
183,09-016-1-3,NA
1311,09-016-1-4,NA
914,09-016-1-5,NA
616,09-016-1-6,NA
1014,09-016-1-7,NA
1212,09-016-1-8,NA
164,09-016-1-9,NA
202,09-016-2-15,NA
149,09-020-1-1,NA
224,09-020-1-10,137
815,09-020-1-11,118
150,09-020-1-12,146
184,09-020-1-13,NA
1213,09-020-1-14,139
165,09-020-1-15,NA
716,09-020-1-16,176
617,09-020-1-17,80
174,09-020-1-18,NA
1312,09-020-1-19,NA
156,09-020-1-2,NA
915,09-020-1-20,96
194,09-020-1-3,NA
324,09-020-1-5,96
1117,09-020-1-6,96
420,09-020-1-7,155
520,09-020-1-8,132
1015,09-020-1-9,148
157,11-001-1-1,104
203,11-001-1-10,NA
717,11-001-1-11,142
166,11-001-1-12,NA
185,11-001-1-13,NA
816,11-001-1-14,121
1313,11-001-1-15,NA
175,11-001-1-16,NA
916,11-001-1-17,137
1016,11-001-1-18,134
1118,11-001-1-19,111
1410,11-001-1-2,NA
1214,11-001-1-20,90
225,11-001-1-3,107
325,11-001-1-4,105
421,11-001-1-5,118
158,11-001-1-6,NA
521,11-001-1-7,135
195,11-001-1-8,NA
618,11-001-1-9,130
159,11-009-1-1,NA
522,11-009-1-10,73
1314,11-009-1-11,NA
619,11-009-1-12,67
917,11-009-1-13,79
1215,11-009-1-14,63
1017,11-009-1-15,68
1119,11-009-1-16,89
160,11-009-1-2,56
226,11-009-1-3,60
326,11-009-1-5,68
422,11-009-1-6,66
718,11-009-1-7,42
817,11-009-1-9,49
1411,11-009-2-4,NA
167,11-009-2-8,NA
168,11-014-1-1,37
227,11-014-1-2,34
327,11-014-1-3,NA
918,12-003-1-1,NA
328,12-003-1-10,54
818,12-003-1-2,NA
620,12-003-1-3,129
719,12-003-1-4,136
523,12-003-1-5,123
1018,12-003-1-6,NA
228,12-003-1-7,91
169,12-003-1-8,186
423,12-003-1-9,167
272,13-002-1-1,NA
292,13-002-1-10,NA
196,13-002-1-101,NA
1610,13-002-1-102,NA
301,13-002-1-103,NA
3110,13-002-1-105,NA
329,13-002-1-109,NA
170,13-002-1-11,NA
186,13-002-1-112,NA
424,13-002-1-114,NA
524,13-002-1-120,NA
621,13-002-1-122,NA
720,13-002-1-123,NA
819,13-002-1-124,NA
919,13-002-1-125,NA
204,13-002-1-126,NA
2110,13-002-1-13,NA
229,13-002-1-15,NA
230,13-002-1-16,NA
330,13-002-1-19,NA
352,13-002-1-202,NA
176,13-002-1-3,NA
282,13-002-1-7,NA
332,13-002-1-8,NA
1120,13-002-2-101,NA
1216,13-002-2-106,NA
242,13-002-2-107,NA
1315,13-002-2-108,NA
252,13-002-2-110,NA
1412,13-002-2-117,NA
1510,13-002-2-118,NA
262,13-002-2-127,NA
1019,13-002-2-4,NA
342,13-002-2-5,NA
232,13-002-2-9,NA
1020,13-003-1-1,NA
177,13-003-1-2,138
721,13-003-1-21,31
233,13-003-1-22,91
333,13-003-1-23,89
425,13-003-1-24,92
1121,13-003-1-25,NA
920,13-003-1-26,65
525,13-003-1-3,108
820,13-003-1-4,102
1217,13-003-1-5,NA
622,13-003-1-6,74
426,13-016-2-1,NA
234,13-016-2-2,NA
178,13-016-2-3,NA
334,13-016-2-4,NA
921,14-001-1-11,NA
526,14-001-1-13,NA
427,14-001-1-16,NA
